slug,name,tagline,image_url,tags,published_date,phase,lnc_score,lnc_slug
ref-finance,Rhea Finance,The Chain-Abstracted Liquidity Solution,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Rhea-Finance.jpg,"Dapp, Borrowing / Lending, Chain Abstraction, DEX",1700812920,mainnet,70003,reffinance
near-intents,NEAR Intents,"The AI‑Native Transaction Layer - NEAR Intents gives AI agents, users, and services a single way to move value across Web2, Web3, and traditional markets. | NEAR DEX & Bridge",https://indexer.nearcatalog.org/wp-content/uploads/2025/02/NEAR-Intents.jpg,"Infrastructure, Bridge, Chain Abstraction, DEX",1732037220,mainnet,,
delta-bot,Delta Trade,"Delta Trade is a multi-chain decentralized trading vault, including Grid, DCA, Rebalancing-Grid, and AI-powered strategy. TGE Coming Soon
",https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Delta-Trade.jpg,"Dapp, DeFi",1706113816,mainnet,,
surge-swap,Surge Swap (Beta),"Swap across chains with 1 click. Swap NEAR, BASE, SOLANA, BTC, ETH, and mores",https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Surge-Swap-Beta.jpg,"Dapp, Chain Abstraction, DeFi, DEX",1752092330,still building,,
hot-near-wallet-telegram,HOT-Near Wallet Telegram,Create your Here wallet now and start earning $HOT today.,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/HOT-Near-Wallet-Telegram.jpg,"Infrastructure, Chain Abstraction, Wallet",1711679646,mainnet,,
hot-craft-nft-marketplace,Hot Craft NFT Marketplace,Chain Abstracted NFT Marketplace,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Hot-Craft-NFT-Marketplace.jpg,"Dapp, Marketplace, NFT",1751912367,still building,,
linear-protocol,LiNEAR Protocol,"Get the highest yield from staking $NEAR, $ETH and more💡",https://indexer.nearcatalog.org/wp-content/uploads/nearcatalog/linear-protocol.jpg,"Dapp, DeFi, Liquid Staking",1700812924,mainnet,0,linear-protocol
meta-pool,Meta Pool,Liquid Staking Protocol built on NEAR.,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/Meta-Pool.jpg,"Dapp, Liquid Staking, Validator",1700812920,mainnet,12013,metapool
bettear-bot,Bettear Bot,"Trading, buy bot, moderation, sniping, alerts, information - this bot has everything",https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Bettear-Bot.jpg,"Utilities, AI, Bot, Chain Abstraction, DeFi",1729117662,mainnet,,
intear,Intear Wallet,Building the best web3 wallet,https://indexer.nearcatalog.org/wp-content/uploads/2025/07/Intear-Wallet.jpg,"Dapp, Wallet",1746444153,mainnet,,
meteor-wallet,Meteor Wallet,"The simple and secure wallet to manage your crypto, access DeFi, and explore NEAR.",https://indexer.nearcatalog.org/wp-content/uploads/2025/01/Meteor-Wallet.jpg,"Infrastructure, Wallet",1700812936,mainnet,48361,meteor-wallet
meme-cooking,Meme Cooking,everyone can be a chef | meme token launchpad on Near Protocol ,https://indexer.nearcatalog.org/wp-content/uploads/2025/03/Meme-Cooking.jpg,"Dapp, DeFi, DEX, Launchpad",1723852714,mainnet,,
nearn,NEARN,Gigs Marketplace Platform for the NEAR Ecosystem. Discover projects and sponsorships from the best NEAR companies in one place and apply to them using a single profile.,https://indexer.nearcatalog.org/wp-content/uploads/2025/06/NEARN.jpg,"Dapp, Community, Marketplace",1749745118,mainnet,,
tradeport,Tradeport,Cross-chain trading platform aggregating NFTs from marketplaces,https://indexer.nearcatalog.org/wp-content/uploads/2024/12/Tradeport.jpg,"Dapp, Indexer, Marketplace, NFT",1708761753,mainnet,,
infinex,Infinex,The UX layer. Building the crypto everything app.,https://indexer.nearcatalog.org/wp-content/uploads/2025/05/Infinex.jpg,"Dapp, Chain Abstraction, DEX, Wallet",1731458907,still building,,
